Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,95.37042395
6054.23,200,OPTIMAL,200,1,0,3.6899957,1,6254.23,Yes,0,0,100,,
6473.513579,200,OPTIMAL,200,1,0,5.805956814,2,6673.513579,Yes,0,0,100,,
6358.685916,200,OPTIMAL,200,1,0,7.280141367,3,6558.685916,Yes,0,0,100,,
6338.422211,200,OPTIMAL,200,1,0,10.33070709,4,6538.422211,Yes,0,0,100,,
6331.667643,200,OPTIMAL,200,1,0,0.261266706,5,6531.667643,Yes,0,0,100,,
6520.795558,200,OPTIMAL,200,1,0,21.77537761,6,6720.795558,Yes,0,0,100,,
6669.396063,200,OPTIMAL,200,1,0,22.53161909,7,6869.396063,Yes,0,0,100,,
6750.450884,200,OPTIMAL,200,1,0,23.07549693,8,6950.450884,Yes,0,0,100,,
6324.913074,200,OPTIMAL,200,1,0,24.20742751,9,6524.913074,Yes,0,0,100,,
6216.83998,200,OPTIMAL,200,1,0,6.35267158,10,6416.83998,Yes,0,0,100,,
6480.268148,200,OPTIMAL,200,1,0,22.44570098,11,6680.268148,Yes,0,0,100,,
6709.923473,200,OPTIMAL,200,1,0,5.458839544,12,6909.923473,Yes,0,0,100,,
6345.17678,200,OPTIMAL,200,1,0,3.338040158,13,6545.17678,Yes,0,0,100,,
6608.604947,200,OPTIMAL,200,1,0,5.923486304,14,6808.604947,Yes,0,0,100,,
6669.396063,200,OPTIMAL,200,1,0,19.30300294,15,6869.396063,Yes,0,0,100,,
6372.195053,200,OPTIMAL,200,1,0,10.38406818,16,6572.195053,Yes,0,0,100,,
6311.403938,200,OPTIMAL,200,1,0,8.204368961,17,6511.403938,Yes,0,0,100,,
6824.751136,200,OPTIMAL,200,1,0,23.32217377,18,7024.751136,Yes,0,0,100,,
6432.986169,200,OPTIMAL,200,1,0,23.08279187,19,6632.986169,Yes,0,0,100,,
6439.740737,200,OPTIMAL,200,1,0,0.796768888,20,6639.740737,Yes,0,0,100,,
6446.495306,200,OPTIMAL,200,1,0,4.453151855,21,6646.495306,Yes,0,0,100,,
6304.649369,200,OPTIMAL,200,1,0,3.317371178,22,6504.649369,Yes,0,0,100,,
6358.685916,200,OPTIMAL,200,1,0,8.263944255,23,6558.685916,Yes,0,0,100,,
6493.777284,200,OPTIMAL,200,1,0,26.17266918,24,6693.777284,Yes,0,0,100,,
6324.913074,200,OPTIMAL,200,1,0,11.61434527,25,6524.913074,Yes,0,0,100,,
6297.894801,200,OPTIMAL,200,1,0,20.27343178,26,6497.894801,Yes,0,0,100,,
6507.286421,200,OPTIMAL,200,1,0,2.682914568,27,6707.286421,Yes,0,0,100,,
6763.96002,200,OPTIMAL,200,1,0,4.665853214,28,6963.96002,Yes,0,0,100,,
6500.531853,200,OPTIMAL,200,1,0,22.7818083,29,6700.531853,Yes,0,0,100,,
6237.103685,200,OPTIMAL,200,1,0,6.630216796,30,6437.103685,Yes,0,0,100,,
6419.477032,200,OPTIMAL,200,1,0,25.08781795,31,6619.477032,Yes,0,0,100,,
6311.403938,200,OPTIMAL,200,1,0,5.144009111,32,6511.403938,Yes,0,0,100,,
6622.114084,200,OPTIMAL,200,1,0,19.64768856,33,6822.114084,Yes,0,0,100,,
6338.422211,200,OPTIMAL,200,1,0,0.261536888,34,6538.422211,Yes,0,0,100,,
6547.813832,200,OPTIMAL,200,1,0,12.28102117,35,6747.813832,Yes,0,0,100,,
6399.213327,200,OPTIMAL,200,1,0,14.84822999,36,6599.213327,Yes,0,0,100,,
6237.103685,200,OPTIMAL,200,1,0,11.97301285,37,6437.103685,Yes,0,0,100,,
6439.740737,200,OPTIMAL,200,1,0,3.120678146,38,6639.740737,Yes,0,0,100,,
6831.505704,200,OPTIMAL,200,1,0,11.67229947,39,7031.505704,Yes,0,0,100,,
6446.495306,200,OPTIMAL,200,1,0,12.36248127,40,6646.495306,Yes,0,0,100,,
6378.949622,200,OPTIMAL,200,1,0,20.7894808,41,6578.949622,Yes,0,0,100,,
6757.205452,200,OPTIMAL,200,1,0,22.81963388,42,6957.205452,Yes,0,0,100,,
6216.83998,200,OPTIMAL,200,1,0,0.256673599,43,6416.83998,Yes,0,0,100,,
6676.150631,200,OPTIMAL,200,1,0,13.88982428,44,6876.150631,Yes,0,0,100,,
6527.550126,200,OPTIMAL,200,1,0,1.61461203,45,6727.550126,Yes,0,0,100,,
6439.740737,200,OPTIMAL,200,1,0,22.84070814,46,6639.740737,Yes,0,0,100,,
6824.751136,200,OPTIMAL,200,1,0,15.52470001,47,7024.751136,Yes,0,0,100,,
6284.385664,200,OPTIMAL,200,1,0,14.33049232,48,6484.385664,Yes,0,0,100,,
6823.531116,800,OPTIMAL,800,2,0,19.1350631,1,7623.531116,Yes,0,0,100,,
6371.113847,800,OPTIMAL,728.4378798,2,0,23.28652966,2,7099.551727,Yes,0,0,91.05473497,,
6464.707628,800,OPTIMAL,738.1639779,2,0,5.762297285,3,7202.871606,Yes,0,0,92.27049724,,
6498.811495,800,OPTIMAL,800,2,0,7.37179961,4,7298.811495,Yes,0,0,100,,
6764.491185,800,OPTIMAL,800,2,0,6.354172595,5,7564.491185,Yes,0,0,100,,
6482.305109,800,OPTIMAL,742.706472,2,0,6.574760538,6,7225.011581,Yes,0,0,92.838309,,
6439.771563,800,OPTIMAL,800,2,0,11.14924821,7,7239.771563,Yes,0,0,100,,
6424.596008,800,OPTIMAL,733.9956502,2,0,9.735684655,8,7158.591658,Yes,0,0,91.74945627,,
6845.67109,800,OPTIMAL,800,2,0,19.19063444,9,7645.67109,Yes,0,0,100,,
6749.731202,800,OPTIMAL,800,2,0,0.75497312,10,7549.731202,Yes,0,0,100,,
6371.113847,800,OPTIMAL,728.4378798,2,0,6.176610002,11,7099.551727,Yes,0,0,91.05473497,,
6351.058037,800,OPTIMAL,726.3537159,2,0,18.04739997,12,7077.411753,Yes,0,0,90.79421448,,
6458.022358,800,OPTIMAL,737.4692566,2,0,17.55699954,13,7195.491615,Yes,0,0,92.18365708,,
6663.697213,800,OPTIMAL,790.094101,2,0,20.27431237,14,7453.791314,Yes,0,0,98.76176263,,
6771.871176,800,OPTIMAL,800,2,0,19.53542764,15,7571.871176,Yes,0,0,100,,
6794.011151,800,OPTIMAL,800,2,0,17.23840531,16,7594.011151,Yes,0,0,100,,
