Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,80.12255803
4319.005314,2600,OPTIMAL,1935.224686,1,0,3.6899957,1,6254.23,Yes,0,0,74.43171868,,
5147.184641,2600,OPTIMAL,1526.328938,1,0,5.805956814,2,6673.513579,Yes,0,0,58.70495914,,
5088.037919,2600,OPTIMAL,1470.647997,1,0,7.280141367,3,6558.685916,Yes,0,0,56.56338451,,
5077.600262,2600,OPTIMAL,1460.821949,1,0,10.33070709,4,6538.422211,Yes,0,0,56.18545958,,
5074.121043,2600,OPTIMAL,1457.5466,1,0,0.261266706,5,6531.667643,Yes,0,0,56.0594846,,
5213.887479,2600,OPTIMAL,1506.908079,1,0,21.77537761,6,6720.795558,Yes,0,0,57.95800302,,
4859.241237,2600,OPTIMAL,2010.154826,1,0,22.53161909,7,6869.396063,No,0,0,77.31364716,,
4850.450884,2600,OPTIMAL,2100,1,0,23.07549693,8,6950.450884,No,0,0,80.76923077,,
5070.641824,2600,OPTIMAL,1454.27125,1,0,24.20742751,9,6524.913074,Yes,0,0,55.93350962,,
4910.273796,2600,OPTIMAL,1506.566184,1,0,6.35267158,10,6416.83998,Yes,0,0,57.94485321,,
5150.66386,2600,OPTIMAL,1529.604287,1,0,22.44570098,11,6680.268148,Yes,0,0,58.83093412,,
4876.008113,2600,OPTIMAL,2033.91536,1,0,5.458839544,12,6909.923473,No,0,0,78.22751386,,
5081.079481,2600,OPTIMAL,1464.097298,1,0,3.338040158,13,6545.17678,Yes,0,0,56.31143456,,
5259.204771,2600,OPTIMAL,1549.400176,1,0,5.923486304,14,6808.604947,Yes,0,0,59.59231448,,
4859.241237,2600,OPTIMAL,2010.154826,1,0,19.30300294,15,6869.396063,No,0,0,77.31364716,,
5094.996357,2600,OPTIMAL,1477.198696,1,0,10.38406818,16,6572.195053,Yes,0,0,56.81533447,,
5063.683386,2600,OPTIMAL,1447.720551,1,0,8.204368961,17,6511.403938,Yes,0,0,55.68155967,,
4924.751136,2600,OPTIMAL,2100,1,0,23.32217377,18,7024.751136,No,0,0,80.76923077,,
5126.309328,2600,OPTIMAL,1506.676841,1,0,23.08279187,19,6632.986169,Yes,0,0,57.94910927,,
5129.788547,2600,OPTIMAL,1509.952191,1,0,0.796768888,20,6639.740737,Yes,0,0,58.07508425,,
5133.267766,2600,OPTIMAL,1513.22754,1,0,4.453151855,21,6646.495306,Yes,0,0,58.20105923,,
5060.204167,2600,OPTIMAL,1444.445202,1,0,3.317371178,22,6504.649369,Yes,0,0,55.55558469,,
5088.037919,2600,OPTIMAL,1470.647997,1,0,8.263944255,23,6558.685916,Yes,0,0,56.56338451,,
5199.943698,2600,OPTIMAL,1493.833587,1,0,26.17266918,24,6693.777284,Yes,0,0,57.45513796,,
5070.641824,2600,OPTIMAL,1454.27125,1,0,11.61434527,25,6524.913074,Yes,0,0,55.93350962,,
5056.724948,2600,OPTIMAL,1441.169852,1,0,20.27343178,26,6497.894801,Yes,0,0,55.42960971,,
5206.915588,2600,OPTIMAL,1500.370833,1,0,2.682914568,27,6707.286421,Yes,0,0,57.70657049,,
4863.96002,2600,OPTIMAL,2100,1,0,4.665853214,28,6963.96002,No,0,0,80.76923077,,
5203.429643,2600,OPTIMAL,1497.10221,1,0,22.7818083,29,6700.531853,Yes,0,0,57.58085422,,
4923.934591,2600,OPTIMAL,1513.169094,1,0,6.630216796,30,6437.103685,Yes,0,0,58.1988113,,
5119.35089,2600,OPTIMAL,1500.126142,1,0,25.08781795,31,6619.477032,Yes,0,0,57.69715932,,
5063.683386,2600,OPTIMAL,1447.720551,1,0,5.144009111,32,6511.403938,Yes,0,0,55.68155967,,
5056.642324,2600,OPTIMAL,1765.47176,1,0,19.64768856,33,6822.114084,Yes,0,0,67.90276,,
5077.600262,2600,OPTIMAL,1460.821949,1,0,0.261536888,34,6538.422211,Yes,0,0,56.18545958,,
5227.831261,2600,OPTIMAL,1519.98257,1,0,12.28102117,35,6747.813832,Yes,0,0,58.46086808,,
5108.913233,2600,OPTIMAL,1490.300094,1,0,14.84822999,36,6599.213327,Yes,0,0,57.31923438,,
4923.934591,2600,OPTIMAL,1513.169094,1,0,11.97301285,37,6437.103685,Yes,0,0,58.1988113,,
5129.788547,2600,OPTIMAL,1509.952191,1,0,3.120678146,38,6639.740737,Yes,0,0,58.07508425,,
4931.505704,2600,OPTIMAL,2100,1,0,11.67229947,39,7031.505704,Yes,0,0,80.76923077,,
5133.267766,2600,OPTIMAL,1513.22754,1,0,12.36248127,40,6646.495306,Yes,0,0,58.20105923,,
5098.475576,2600,OPTIMAL,1480.474046,1,0,20.7894808,41,6578.949622,Yes,0,0,56.94130945,,
4857.205452,2600,OPTIMAL,2100,1,0,22.81963388,42,6957.205452,No,0,0,80.76923077,,
4910.273796,2600,OPTIMAL,1506.566184,1,0,0.256673599,43,6416.83998,Yes,0,0,57.94485321,,
4862.035716,2600,OPTIMAL,2014.114915,1,0,13.88982428,44,6876.150631,No,0,0,77.46595828,,
5217.373425,2600,OPTIMAL,1510.176701,1,0,1.61461203,45,6727.550126,Yes,0,0,58.08371929,,
5129.788547,2600,OPTIMAL,1509.952191,1,0,22.84070814,46,6639.740737,Yes,0,0,58.07508425,,
4924.751136,2600,OPTIMAL,2100,1,0,15.52470001,47,7024.751136,No,0,0,80.76923077,,
5049.76651,2600,OPTIMAL,1434.619154,1,0,14.33049232,48,6484.385664,Yes,0,0,55.17765975,,
5885.476308,2600,OPTIMAL,1738.054808,2,0,19.1350631,1,7623.531116,Yes,0,0,66.84826185,,
4999.551727,2600,OPTIMAL,2100,2,0,23.28652966,2,7099.551727,Yes,0,0,80.76923077,,
5102.871606,2600,OPTIMAL,2100,2,0,5.762297285,3,7202.871606,Yes,0,0,80.76923077,,
