line_id,year,built,investment_cost
1,1,false,0.0
1,2,false,0.0
1,3,false,0.0
1,4,false,0.0
1,5,false,0.0
1,6,false,0.0
2,1,false,0.0
2,2,false,0.0
2,3,false,0.0
2,4,false,0.0
2,5,false,0.0
2,6,false,0.0
3,1,false,0.0
3,2,false,0.0
3,3,false,0.0
3,4,false,0.0
3,5,false,0.0
3,6,false,0.0
4,1,false,0.0
4,2,false,0.0
4,3,false,0.0
4,4,false,0.0
4,5,false,0.0
4,6,false,0.0
5,1,false,0.0
5,2,false,0.0
5,3,false,0.0
5,4,false,0.0
5,5,false,0.0
5,6,false,0.0
6,1,false,0.0
6,2,false,0.0
6,3,false,0.0
6,4,false,0.0
6,5,false,0.0
6,6,false,0.0
7,1,false,0.0
7,2,false,0.0
7,3,false,0.0
7,4,false,0.0
7,5,false,0.0
7,6,false,0.0
8,1,false,0.0
8,2,false,0.0
8,3,false,0.0
8,4,false,0.0
8,5,false,0.0
8,6,false,0.0
9,1,false,0.0
9,2,false,0.0
9,3,false,0.0
9,4,false,0.0
9,5,false,0.0
9,6,false,0.0
10,1,false,0.0
10,2,false,0.0
10,3,false,0.0
10,4,false,0.0
10,5,false,0.0
10,6,false,0.0
11,1,false,0.0
11,2,false,0.0
11,3,false,0.0
11,4,false,0.0
11,5,false,0.0
11,6,false,0.0
12,1,false,0.0
12,2,false,0.0
12,3,false,0.0
12,4,false,0.0
12,5,false,0.0
12,6,false,0.0
13,1,false,0.0
13,2,false,0.0
13,3,false,0.0
13,4,false,0.0
13,5,false,0.0
13,6,false,0.0
14,1,false,0.0
14,2,false,0.0
14,3,false,0.0
14,4,false,0.0
14,5,false,0.0
14,6,false,0.0
15,1,false,0.0
15,2,false,0.0
15,3,false,0.0
15,4,false,0.0
15,5,false,0.0
15,6,false,0.0
16,1,false,0.0
16,2,false,0.0
16,3,false,0.0
16,4,false,0.0
16,5,false,0.0
16,6,false,0.0
17,1,false,0.0
17,2,false,0.0
17,3,false,0.0
17,4,false,0.0
17,5,false,0.0
17,6,false,0.0
18,1,false,0.0
18,2,false,0.0
18,3,false,0.0
18,4,false,0.0
18,5,false,0.0
18,6,false,0.0
19,1,false,0.0
19,2,false,0.0
19,3,false,0.0
19,4,false,0.0
19,5,false,0.0
19,6,false,0.0
20,1,false,0.0
20,2,false,0.0
20,3,false,0.0
20,4,false,0.0
20,5,false,0.0
20,6,false,0.0
